stop_id,stop_name,stop_lat,stop_lon
HANMAIN,HANSON ST & E MAIN ST,39.956666,-82.77903
MOUWAYW,W MOUND ST & S WAYNE AVE,39.938547,-83.062991
MAIHOLE,E MAIN ST & HOLTZMAN AVE,39.957308,-82.945897
MOREASS,MORSE CROSSING & EASTON WAY,40.048117,-82.920331
SOUTER4,COTA TRANSIT TERMINAL BAY 4,39.957065,-82.999017
SOUTER7,COTA TRANSIT TERMINAL BAY 7,39.956717,-82.998851
NORTER3,SPRING ST TERMINAL BAY 3,39.965808,-83.002412
SOUTER9,COTA TRANSIT TERMINAL BAY 9,39.956503,-82.998803
NORTER4,SPRING ST TERMINAL BAY 4,39.965718,-83.002388
SOUTER3,COTA TRANSIT TERMINAL BAY 3,39.957128,-82.998935
SOUTER6,COTA TRANSIT TERMINAL BAY 6,39.956878,-82.998969
SOUTER8,COTA TRANSIT TERMINAL BAY 8,39.956655,-82.998934
SOUTER5,COTA TRANSIT TERMINAL BAY 5,39.956931,-82.998899
NORTER1,SPRING ST TERMINAL BAY 1,39.965968,-83.002436
NORTER5,SPRING ST TERMINAL BAY 5,39.965638,-83.002376
TECAEPE,TECHCENTER DR & AEP,39.999869,-82.853016
HIGHOSS,S HIGH ST & HOSACK ST,39.92302,-82.995545
LIVBULW,E LIVINGSTON AVE & BULEN AVE,39.948836,-82.951647
CLEMOUN,CLEVELAND AVE & MOUNT VERNON AVE,39.969554,-82.99037
CLEJACN,CLEVELAND AVE & JACK GIBBS BLVD,39.972493,-82.990132
CLE2NDN,CLEVELAND AVE & E 2ND AVE,39.981514,-82.989457
CLE3RDN,CLEVELAND AVE & E 3RD AVE,39.983318,-82.989321
CLESHON,CLEVELAND AVE & SHOEMAKER AVE,39.988178,-82.987305
CLECAMN,CLEVELAND AVE & CAMDEN AVE,39.990831,-82.984583
CLE11TN,CLEVELAND AVE & E 11TH AVE,39.993413,-82.981879
CLECHIN,CLEVELAND AVE & CHITTENDEN AVE,39.995615,-82.979577
CLEWINN,CLEVELAND AVE & WINDSOR AVE,39.997133,-82.977974
CLE15TN,CLEVELAND AVE & E 15TH AVE,39.998468,-82.976803
CLE17TN,CLEVELAND AVE & E 17TH AVE,40.000161,-82.975688
RIDREDW,RIDGECLIFF RD & REDDING RD,40.023016,-83.070025
CLE19TN,CLEVELAND AVE & E 19TH AVE,40.002498,-82.974205
CLE23RN,CLEVELAND AVE & E 23RD AVE,40.005664,-82.972204
CLE25TN,CLEVELAND AVE & E 25TH AVE,40.006947,-82.971424
CLEDUXN,CLEVELAND AVE & DUXBERRY AVE,40.008692,-82.970345
CLECORN,CLEVELAND AVE & CORDELL AVE,40.011141,-82.968854
CLEHUDN,CLEVELAND AVE & E HUDSON ST,40.013473,-82.967418
